period,boundary_mode,score_name,policy_name,cost_bps,full_path_rerun,stress_kind,risk_reference_cost_bps,feature_protocol_version,feature_cache_signature,strategy_policy_version,low_risk_data_signature,days,total_ret,ann_ret,ann_vol,sharpe,max_drawdown,win_rate,avg_turnover,total_cost,median_position_count,median_holding_sessions,avg_exposure,avg_low_risk_weight,annualized_turnover,trade_day_ratio,completed_position_exit_count,completed_position_holding_sessions_p25,completed_position_holding_sessions_p50,completed_position_holding_sessions_p75,completed_position_holding_sessions_le_5_ratio
year_2022,continuous_carry,score_frozen_selected_5d,simple_v2,20.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,-0.0665752268285111,-0.0692288118898089,0.0920140556608046,-0.7332991750067064,-0.1087150212941779,0.5785123966942148,0.0501100975716622,,,,,,,,,,,,
year_2023,continuous_carry,score_frozen_selected_5d,simple_v2,20.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,0.0278232604154879,0.0289894912489638,0.0858384441111619,0.3758327744879906,-0.0664171982594686,0.512396694214876,0.0579020653878388,,,,,,,,,,,,
year_2024,continuous_carry,score_frozen_selected_5d,simple_v2,20.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,0.2310253163798306,0.2416438023201936,0.1350753298041706,1.6700928989774635,-0.0692866110543197,0.5826446280991735,0.046641106807416,,,,,,,,,,,,
year_2025,continuous_carry,score_frozen_selected_5d,simple_v2,20.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.141204971579903,0.1468014536584581,0.1445382093974627,1.0201501623443958,-0.0791981270583825,0.5555555555555556,0.0874861725639933,,,,,,,,,,,,
development,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,1456,0.1348673379904146,0.0221384565503022,0.1254588262880593,0.2375881186891807,-0.180417660699487,0.554945054945055,0.0570021747749002,0.2489854994167643,3.0,10.0,0.4361367672322976,0.5638632327677023,14.364548043274864,0.3008241758241758,546.0,10.0,10.0,10.0,0.1538461538461538
selection,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,485,0.3598250626624526,0.1731570016852148,0.1402154814804459,1.2091731821598657,-0.0809547214678467,0.5628865979381443,0.0671057480009176,0.0976388633413351,5.0,10.0,0.5660362686438567,0.4339637313561433,16.910648496231243,0.2536082474226804,179.0,10.0,10.0,10.0,0.0726256983240223
full,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,1941,0.5432210489963849,0.0579462957533247,0.1293601632509983,0.5003383200490416,-0.1844066644184556,0.5569294178258629,0.0595267667453373,0.3466243627580995,3.0,10.0,0.4685949115829447,0.5314050884170552,15.000745219825015,0.2890262751159196,725.0,10.0,10.0,10.0,0.1337931034482758
observation,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,159,0.0162909394543595,0.0259423395967037,0.0921951572436055,0.3238559702104011,-0.0589094995805472,0.5534591194968553,0.0658248043168631,0.0313984316591437,3.0,10.0,0.4572725831774373,0.5427274168225628,16.58785068784952,0.2264150943396226,57.0,10.0,10.0,10.0,0.1578947368421052
year_2018,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,-0.1571864484202227,-0.1631212042737617,0.0812840031346131,-2.149164632956301,-0.1693902629781253,0.5578512396694215,0.0468582482975677,,,,,,,,,,,,
year_2019,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,244,0.1073325789917711,0.1110403145820089,0.1245196160198107,0.9081678429659412,-0.1304127582579806,0.5491803278688525,0.0504726731547941,,,,,,,,,,,,
year_2020,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.1119785601990299,0.1163585126396709,0.1649847283899842,0.7507300685795862,-0.095019659331046,0.5679012345679012,0.0587632013850958,,,,,,,,,,,,
year_2021,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.1700393136442277,0.1768643226809942,0.1694284819442415,1.0464657069099974,-0.1409201524154644,0.5637860082304527,0.0778672294720002,,,,,,,,,,,,
year_2022,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,-0.0778343907880958,-0.080916974873355,0.092490358429927,-0.8656249848320595,-0.1170388770279023,0.5785123966942148,0.0501100975716622,,,,,,,,,,,,
year_2023,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,0.0135139236943777,0.0140762626238784,0.0859281431753372,0.2056213880404641,-0.0750541535097305,0.512396694214876,0.0579020653878388,,,,,,,,,,,,
year_2024,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,242,0.2171954668239246,0.2271216332410528,0.1353239599191782,1.580266449155001,-0.0736067177850583,0.5785123966942148,0.046641106807416,,,,,,,,,,,,
year_2025,continuous_carry,score_frozen_selected_5d,simple_v2,30.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,243,0.1171788753130145,0.1217731422781487,0.144869459695839,0.8657725640459752,-0.0809547214678465,0.5473251028806584,0.0874861725639933,,,,,,,,,,,,
development,continuous_carry,score_frozen_selected_5d,simple_v2,50.0,True,full_system_replay_with_fixed_policy_cost_risk_reference,20.0,4,6dd1e5ddb4c0afce5af4cd142ce9917243bf4f5ec090a32ef6d14cdd7262a445,6,760bf7fdeefae8d8ea0e0e7c3401d1ff395c7f171dc96a4760031d67f0f522a8,1456,-0.0388778015582041,-0.0068396463482431,0.1260236406338128,0.0088959903929122,-0.2055817876851275,0.5467032967032966,0.0570021747749002,0.4149758323612738,3.0,10.0,0.4361367672322976,0.5638632327677023,14.364548043274864,0.3008241758241758,546.0,10.0,10.0,10.0,0.1538461538461538
