signal_date,execution_date,stage,asset_code,target_weight
20180409,20180410,executed,884258.TI,0.09947665560927146
20180409,20180410,executed,LOW_RISK,0.6966306251011695
20180410,20180411,executed,884227.TI,0.09999999999999999
20180410,20180411,executed,884244.TI,0.09999999999999999
20180410,20180411,executed,884266.TI,0.09999999999999999
20180410,20180411,executed,LOW_RISK,0.7
20180411,20180412,executed,881182.TI,0.09999999999999999
20180411,20180412,executed,884244.TI,0.09999999999999999
20180411,20180412,executed,884266.TI,0.09999999999999999
20180411,20180412,executed,LOW_RISK,0.7
20180412,20180413,executed,881182.TI,0.09999560096186919
20180412,20180413,executed,884244.TI,0.10012223975062134
20180412,20180413,executed,884266.TI,0.09896655819762348
20180412,20180413,executed,LOW_RISK,0.700915601089886
20180413,20180416,executed,881182.TI,0.10028276273099906
20180413,20180416,executed,884244.TI,0.09788793187723382
20180413,20180416,executed,884266.TI,0.09827647500714023
20180413,20180416,executed,LOW_RISK,0.7035528303846269
20180416,20180417,executed,881182.TI,0.0995612907928083
20180416,20180417,executed,884244.TI,0.10058031935180627
20180416,20180417,executed,884266.TI,0.09923740895412697
20180416,20180417,executed,LOW_RISK,0.7006209809012585
20180417,20180418,executed,881182.TI,0.09843990030863346
20180417,20180418,executed,884244.TI,0.0977686974899123
20180417,20180418,executed,884266.TI,0.09771339891071158
20180417,20180418,executed,LOW_RISK,0.7060780032907427
20180418,20180419,executed,881182.TI,0.09817004134374789
20180418,20180419,executed,884244.TI,0.09999908402579466
20180418,20180419,executed,884266.TI,0.09944232389295492
20180418,20180419,executed,LOW_RISK,0.7023885507375025
20180419,20180420,executed,881182.TI,0.09846199558026987
20180419,20180420,executed,884244.TI,0.09913505500595077
20180419,20180420,executed,884266.TI,0.10106951815194752
20180419,20180420,executed,LOW_RISK,0.7013334312618318
20180420,20180423,executed,LOW_RISK,1.0
20180423,20180424,executed,LOW_RISK,1.0
20180424,20180425,executed,LOW_RISK,1.0
20180425,20180426,executed,LOW_RISK,1.0
20180426,20180427,executed,LOW_RISK,1.0
20180427,20180502,executed,LOW_RISK,1.0
20180502,20180503,executed,884242.TI,0.09999999999999999
20180502,20180503,executed,884244.TI,0.09999999999999999
20180502,20180503,executed,884266.TI,0.09999999999999999
20180502,20180503,executed,LOW_RISK,0.7
20180503,20180504,executed,884242.TI,0.1006354305152415
20180503,20180504,executed,884244.TI,0.09876651315856824
20180503,20180504,executed,884266.TI,0.10130392840771295
20180503,20180504,executed,LOW_RISK,0.6992941279184772
20180504,20180507,executed,884242.TI,0.1024067650786416
20180504,20180507,executed,884244.TI,0.09915693858218809
20180504,20180507,executed,884266.TI,0.10111092568364605
20180504,20180507,executed,LOW_RISK,0.6973253706555242
20180507,20180508,executed,884242.TI,0.10339588819610791
20180507,20180508,executed,884244.TI,0.10055951238957665
20180507,20180508,executed,884266.TI,0.10245566986096252
20180507,20180508,executed,LOW_RISK,0.6935889295533529
20180508,20180509,executed,884242.TI,0.10385684301048854
20180508,20180509,executed,884244.TI,0.10162026012280956
20180508,20180509,executed,884266.TI,0.10135565438779594
20180508,20180509,executed,LOW_RISK,0.6931672424789059
20180509,20180510,executed,884242.TI,0.1036146022069519
20180509,20180510,executed,884244.TI,0.10359730543112337
20180509,20180510,executed,884266.TI,0.10128930460938945
20180509,20180510,executed,LOW_RISK,0.6914987877525353
20180510,20180511,executed,884242.TI,0.10429154589198301
20180510,20180511,executed,884244.TI,0.10769973665361865
20180510,20180511,executed,884266.TI,0.09950260987353554
20180510,20180511,executed,LOW_RISK,0.6885061075808627
20180511,20180514,executed,884242.TI,0.10216508226190456
20180511,20180514,executed,884244.TI,0.10645264449084144
20180511,20180514,executed,884266.TI,0.09838515592642082
20180511,20180514,executed,LOW_RISK,0.6929971173208331
20180514,20180515,executed,884242.TI,0.10157451213959597
20180514,20180515,executed,884244.TI,0.10676941475525561
20180514,20180515,executed,884266.TI,0.09756567886350968
20180514,20180515,executed,LOW_RISK,0.6940903942416388
20180515,20180516,executed,884239.TI,0.13999999999999999
20180515,20180516,executed,884242.TI,0.13999999999999999
20180515,20180516,executed,884244.TI,0.13999999999999999
20180515,20180516,executed,884266.TI,0.13999999999999999
20180515,20180516,executed,885761.TI,0.13999999999999999
20180515,20180516,executed,LOW_RISK,0.30000000000000004
20180516,20180517,executed,881123.TI,0.13999999999999999
20180516,20180517,executed,884239.TI,0.13999999999999999
20180516,20180517,executed,884244.TI,0.13999999999999999
20180516,20180517,executed,884266.TI,0.13999999999999999
20180516,20180517,executed,885761.TI,0.13999999999999999
20180516,20180517,executed,LOW_RISK,0.30000000000000004
20180517,20180518,executed,881123.TI,0.1410566648426131
20180517,20180518,executed,884239.TI,0.13856630429573344
20180517,20180518,executed,884244.TI,0.1408828647682268
20180517,20180518,executed,884266.TI,0.1396800582332739
20180517,20180518,executed,885761.TI,0.13809813189962253
20180517,20180518,executed,LOW_RISK,0.30171597596053024
20180518,20180521,executed,881123.TI,0.13999999999999999
20180518,20180521,executed,884239.TI,0.13999999999999999
20180518,20180521,executed,884242.TI,0.13999999999999999
20180518,20180521,executed,884244.TI,0.13999999999999999
20180518,20180521,executed,885761.TI,0.13999999999999999
20180518,20180521,executed,LOW_RISK,0.30000000000000004
20180521,20180522,executed,881123.TI,0.14036358050421324
20180521,20180522,executed,884239.TI,0.13848331428983315
20180521,20180522,executed,884242.TI,0.14170115633736158
20180521,20180522,executed,884244.TI,0.14117142122397594
20180521,20180522,executed,885761.TI,0.13923523818246863
20180521,20180522,executed,LOW_RISK,0.2990452894621475
20180522,20180523,executed,881123.TI,0.2
20180522,20180523,executed,884229.TI,0.2
20180522,20180523,executed,884242.TI,0.2
20180522,20180523,executed,884244.TI,0.2
20180522,20180523,executed,885761.TI,0.2
20180522,20180523,executed,LOW_RISK,0.0
20180523,20180524,executed,881123.TI,0.20114844514381783
20180523,20180524,executed,884229.TI,0.2019091962853114
20180523,20180524,executed,884242.TI,0.2002258500084819
20180523,20180524,executed,884244.TI,0.1980814842444481
20180523,20180524,executed,885761.TI,0.19863502431794078
20180523,20180524,executed,LOW_RISK,0.0
20180524,20180525,executed,881123.TI,0.20176356104023974
20180524,20180525,executed,884229.TI,0.197145923259101
20180524,20180525,executed,884242.TI,0.20184871500272047
20180524,20180525,executed,884244.TI,0.20117856566101258
20180524,20180525,executed,885761.TI,0.1980632350369263
20180524,20180525,executed,LOW_RISK,0.0
20180525,20180528,executed,881123.TI,0.1995403160885959
20180525,20180528,executed,884229.TI,0.1911320350329721
20180525,20180528,executed,884242.TI,0.2013448474118996
20180525,20180528,executed,884244.TI,0.20613676714090542
20180525,20180528,executed,885761.TI,0.2018460343256271
20180525,20180528,executed,LOW_RISK,0.0
20180528,20180529,executed,881123.TI,0.2
20180528,20180529,executed,884212.TI,0.2
20180528,20180529,executed,884242.TI,0.2
20180528,20180529,executed,884244.TI,0.2
20180528,20180529,executed,885761.TI,0.2
20180528,20180529,executed,LOW_RISK,0.0
20180529,20180530,executed,881123.TI,0.13999999999999999
20180529,20180530,executed,884229.TI,0.13999999999999999
20180529,20180530,executed,884239.TI,0.13999999999999999
20180529,20180530,executed,884242.TI,0.13999999999999999
20180529,20180530,executed,884244.TI,0.13999999999999999
20180529,20180530,executed,LOW_RISK,0.30000000000000004
20180530,20180531,executed,881178.TI,0.13999999999999999
20180530,20180531,executed,884212.TI,0.13999999999999999
20180530,20180531,executed,884239.TI,0.13999999999999999
20180530,20180531,executed,884242.TI,0.13999999999999999
20180530,20180531,executed,884244.TI,0.13999999999999999
20180530,20180531,executed,LOW_RISK,0.30000000000000004
20180531,20180601,executed,881178.TI,0.09999999999999999
20180531,20180601,executed,884239.TI,0.09999999999999999
20180531,20180601,executed,884244.TI,0.09999999999999999
20180531,20180601,executed,LOW_RISK,0.7
20180601,20180604,executed,881178.TI,0.09999999999999999
20180601,20180604,executed,884233.TI,0.09999999999999999
20180601,20180604,executed,884244.TI,0.09999999999999999
20180601,20180604,executed,LOW_RISK,0.7
20180604,20180605,executed,881178.TI,0.09999999999999999
20180604,20180605,executed,884233.TI,0.09999999999999999
20180604,20180605,executed,885780.TI,0.09999999999999999
20180604,20180605,executed,LOW_RISK,0.7
20180605,20180606,executed,881178.TI,0.10160904725259487
20180605,20180606,executed,884233.TI,0.10110916234222075
20180605,20180606,executed,885780.TI,0.10084552824787794
20180605,20180606,executed,LOW_RISK,0.6964362621573064
20180606,20180607,executed,881178.TI,0.10137450708009214
20180606,20180607,executed,884233.TI,0.10154545637586229
20180606,20180607,executed,885780.TI,0.10084587045541743
20180606,20180607,executed,LOW_RISK,0.6962341660886282
20180607,20180608,executed,881178.TI,0.09999999999999999
20180607,20180608,executed,884209.TI,0.09999999999999999
20180607,20180608,executed,884239.TI,0.09999999999999999
20180607,20180608,executed,LOW_RISK,0.7
20180608,20180611,executed,881178.TI,0.10026553056316818
20180608,20180611,executed,884209.TI,0.09825092077311957
20180608,20180611,executed,884239.TI,0.10105050038342041
20180608,20180611,executed,LOW_RISK,0.7004330482802918
20180611,20180612,executed,881178.TI,0.09989498835821763
20180611,20180612,executed,884209.TI,0.0986499868624842
20180611,20180612,executed,884239.TI,0.09786188102073591
20180611,20180612,executed,LOW_RISK,0.7035931437585623
20180612,20180613,executed,881178.TI,0.10164301443648029
20180612,20180613,executed,884209.TI,0.09823303804879997
20180612,20180613,executed,884239.TI,0.10060544997159011
20180612,20180613,executed,LOW_RISK,0.6995184975431297
20180613,20180614,executed,884209.TI,0.09999999999999999
20180613,20180614,executed,884239.TI,0.09999999999999999
20180613,20180614,executed,884244.TI,0.09999999999999999
20180613,20180614,executed,LOW_RISK,0.7
20180614,20180615,executed,884209.TI,0.09999999999999999
20180614,20180615,executed,884239.TI,0.09999999999999999
20180614,20180615,executed,885525.TI,0.09999999999999999
20180614,20180615,executed,LOW_RISK,0.7
20180615,20180619,executed,884209.TI,0.09999999999999999
20180615,20180619,executed,884254.TI,0.09999999999999999
20180615,20180619,executed,885525.TI,0.09999999999999999
20180615,20180619,executed,LOW_RISK,0.7
20180619,20180620,executed,884244.TI,0.09999999999999999
20180619,20180620,executed,884254.TI,0.09999999999999999
20180619,20180620,executed,885525.TI,0.09999999999999999
20180619,20180620,executed,LOW_RISK,0.7
20180620,20180621,executed,LOW_RISK,1.0
20180621,20180622,executed,LOW_RISK,1.0
20180622,20180625,executed,LOW_RISK,1.0
20180625,20180626,executed,LOW_RISK,1.0
20180626,20180627,executed,LOW_RISK,1.0
20180627,20180628,executed,LOW_RISK,1.0
20180628,20180629,executed,LOW_RISK,1.0
20180629,20180702,executed,LOW_RISK,1.0
20180702,20180703,executed,LOW_RISK,1.0
20180703,20180704,executed,LOW_RISK,1.0
20180704,20180705,executed,LOW_RISK,1.0
20180705,20180706,executed,LOW_RISK,1.0
20180706,20180709,executed,LOW_RISK,1.0
20180709,20180710,executed,LOW_RISK,1.0
20180710,20180711,executed,LOW_RISK,1.0
20180711,20180712,executed,LOW_RISK,1.0
20180712,20180713,executed,LOW_RISK,1.0
20180713,20180716,executed,LOW_RISK,1.0
20180716,20180717,executed,LOW_RISK,1.0
