asof_date,effective_from,sector_code,sector_name,etf_code,etf_name,index_code,index_name,listing_sessions,recent_completeness,median_amount20,n_obs,score_before_tracking_penalty,eligible_before_index_gap,reject_reason,corr120,corr60,beta,r2,tracking_error,tracking_error_rank,mapping_score,selected,runner_up_index_gap,effective_to
20231130,20231201,881129.TI,通信设备,515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证通信设备,1026,1.0,114455.589,120,0.6969187961202119,True,,0.808037464150878,0.7798455300962625,1.025973230302637,0.652924543471382,0.14376856996178342,1.0,0.5969187961202119,True,,20240102
20231130,20231201,881141.TI,中药,560080.SH,汇添富中证中药ETF,930641.CSI,中证中药,276,1.0,53493.5335,120,0.8180029731291285,True,,0.9175035783541107,0.9319170460327336,0.853618061700539,0.8418128162925983,0.06521301446222691,0.5,0.7680029731291285,True,,20240102
20231130,20231201,881153.TI,房地产,512200.SH,南方中证全指房地产ETF,931775.CSI,中证房地产,1501,1.0,210988.247,120,0.8355416956387198,True,,0.9430707244175143,0.9223958989678259,0.9585954773082698,0.8893823912533753,0.07554826562064543,0.5,0.7855416956387198,True,,20240102
20231130,20231201,881155.TI,银行,512700.SH,南方中证银行ETF,399986.SZ,中证银行,1544,1.0,72955.278,120,0.8551143138730786,True,,0.9610765706397872,0.9441032094330994,0.9506058385955272,0.9236681746327343,0.03747647523261623,0.25,0.8301143138730785,True,,20240102
20231130,20231201,885362.TI,云计算,516510.SH,易方达中证云计算与大数据主题ETF,930851.CSI,中证云计算,645,1.0,98397.1145,120,0.6980426201364718,True,,0.8187522421600162,0.7524528558006219,1.1001836804691905,0.6703552340420547,0.13056141308309555,0.75,0.6230426201364718,True,,20240102
20231130,20231201,885700.TI,军工,512660.SH,国泰中证军工ETF,399967.SZ,中证军工,1778,1.0,217538.945,120,0.6548971620417106,True,,0.7382505801702225,0.8160791363533955,1.129087973687759,0.5450139191216703,0.08216742279027837,0.5,0.6048971620417105,True,,20240102
20231130,20231201,885756.TI,芯片概念,159813.SZ,鹏华国证半导体芯片ETF,980017.SZ,国证芯片,857,1.0,114080.394,120,0.5914522877554318,True,,0.68104837440186,0.7254162692527572,0.7978990040238394,0.4638268882754164,0.10657918692104383,0.5,0.5414522877554317,True,,20240102
20231130,20231201,885914.TI,煤炭概念,515220.SH,国泰中证煤炭ETF,399998.SZ,中证煤炭,913,1.0,128075.785,120,0.8073661940936514,True,,0.9061496639930608,0.924501120255642,1.3612135681009667,0.8211072135547366,0.09214052568016019,1.0,0.7073661940936514,True,,20240102
20231229,20240102,881121.TI,半导体,512480.SH,国联安中证全指半导体产品与设备ETF,H30184.CSI,中证半导体,1108,1.0,779775.4775,120,0.76294558191183,True,,0.861999169824915,0.8819584467301839,0.7990220257150763,0.7430425687788433,0.0819686036401338,1.0,0.6629455819118301,True,,20240201
20231229,20240102,881129.TI,通信设备,515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证通信设备,1047,1.0,122640.8485,120,0.6902038398377588,True,,0.7980114712791656,0.7826990318168209,0.9822803091598322,0.6368223082931386,0.1354872878302444,1.0,0.5902038398377588,True,,20240201
20231229,20240102,881145.TI,电力,159611.SZ,广发中证全指电力公用事业ETF,H30199.CSI,中证电力指数,481,1.0,52337.2905,120,0.6356663426809452,True,,0.7705096034504302,0.6454351344173174,0.8496061321071587,0.5936850490093386,0.07125874733149383,0.6,0.5756663426809452,True,,20240201
20231229,20240102,881153.TI,房地产,512200.SH,南方中证全指房地产ETF,931775.CSI,中证房地产,1522,1.0,112730.6005,120,0.8226957631313829,True,,0.9336165865312206,0.9005659210753663,0.9584033471046266,0.8716399306462068,0.08030682262904613,0.5,0.7726957631313829,True,,20240201
20231229,20240102,881155.TI,银行,512700.SH,南方中证银行ETF,399986.SZ,中证银行,1565,1.0,65030.908500000005,120,0.8462832522026803,True,,0.9525104121116224,0.9357465334788445,0.9498825639120053,0.9072760851810531,0.03853349605090614,0.375,0.8087832522026803,True,,20240201
20231229,20240102,885362.TI,云计算,516510.SH,易方达中证云计算与大数据主题ETF,930851.CSI,中证云计算,666,1.0,94151.6465,120,0.6784190638121443,True,,0.7955854467365641,0.7427316399400381,1.0171662349306343,0.6329562030590185,0.12261875385596456,0.75,0.6034190638121444,True,,20240201
20231229,20240102,885700.TI,军工,512810.SH,华宝中证军工ETF,399967.SZ,中证军工,1789,1.0,56597.3485,120,0.6786020725095273,True,,0.7798227604986799,0.7898886463656803,1.2622383921824916,0.6081235377917819,0.08046444898515712,0.5,0.6286020725095273,True,,20240201
20231229,20240102,885728.TI,人工智能,515980.SH,华富中证人工智能产业ETF,931071.CSI,中证人工智能,949,1.0,51126.6,120,0.5838797184884466,True,,0.6990607760717217,0.6441857406251437,1.1725800447780903,0.4886859686419984,0.13301625842081277,1.0,0.4838797184884466,True,,20240201
20231229,20240102,885756.TI,芯片概念,159813.SZ,鹏华国证半导体芯片ETF,980017.SZ,国证芯片,878,1.0,94582.561,120,0.5726742820375008,True,,0.6649150902969619,0.6955997011733092,0.8034800756658937,0.4421120773046173,0.10583031834771908,0.5,0.5226742820375008,True,,20240201
20231229,20240102,885914.TI,煤炭概念,515220.SH,国泰中证煤炭ETF,399998.SZ,中证煤炭,934,1.0,114114.6165,120,0.7869770583900039,True,,0.8958317109428784,0.8747361390757512,1.405385803753146,0.8025144543308455,0.09718133613374046,1.0,0.6869770583900039,True,,20240201
20240131,20240201,881121.TI,半导体,512480.SH,国联安中证全指半导体产品与设备ETF,H30184.CSI,中证半导体,1130,1.0,926652.1680000001,120,0.7846294146051004,True,,0.8919374833469279,0.8773112072069953,0.9115471181018007,0.7955524741992512,0.07877878560582012,1.0,0.6846294146051004,True,,20240301
20240131,20240201,881129.TI,通信设备,515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证通信设备,1069,1.0,118482.5565,120,0.7069759175487407,True,,0.7932650866290305,0.8638117983381638,1.0085679360673536,0.629269497664563,0.13797487602360198,1.0,0.6069759175487407,True,,20240301
20240131,20240201,881145.TI,电力,159611.SZ,广发中证全指电力公用事业ETF,H30199.CSI,中证电力指数,503,1.0,62633.0065,120,0.6966032380668067,True,,0.8178347482835735,0.7494312504000461,0.9953202812113552,0.6688536755000565,0.07074161985578677,0.6,0.6366032380668067,True,,20240301
20240131,20240201,881153.TI,房地产,512200.SH,南方中证全指房地产ETF,931775.CSI,中证房地产,1544,1.0,97564.69949999999,120,0.8212931615251773,True,,0.9296806622932217,0.9072276412090869,0.9359860304184369,0.8643061338419649,0.07776680759026783,0.5,0.7712931615251772,True,,20240301
20240131,20240201,881155.TI,银行,512800.SH,华宝中证银行ETF,399986.SZ,中证银行,1581,1.0,184414.8135,120,0.8310981644759097,True,,0.9400675407847559,0.9140213875918669,0.9040260522035743,0.8837269812371,0.04161596242571489,0.125,0.8185981644759097,True,,20240301
20240131,20240201,885362.TI,云计算,516510.SH,易方达中证云计算与大数据主题ETF,930851.CSI,中证云计算,688,1.0,61655.9615,120,0.6915005401243858,True,,0.7837170735432076,0.8300405425932498,1.1417622519515185,0.6142124513631295,0.13708863970815513,0.75,0.6165005401243857,True,,20240301
20240131,20240201,885700.TI,军工,512660.SH,国泰中证军工ETF,399967.SZ,中证军工,1821,1.0,278718.63,120,0.6685565884944604,True,,0.7707120598103927,0.7764039868747492,1.3918034853226793,0.5939970791371783,0.09013493463615227,0.75,0.5935565884944605,True,,20240301
20240131,20240201,885728.TI,人工智能,515980.SH,华富中证人工智能产业ETF,931071.CSI,中证人工智能,971,1.0,52581.395,120,0.594615027130435,True,,0.6980215695631263,0.6900765024502652,1.2970572022102045,0.4872341115753708,0.1478318119921294,1.0,0.49461502713043504,True,,20240301
