date,signal_date,gross_return,turnover,cost,net_return,equity,drawdown,sector_target_exposure,mapped_equity_exposure,mapping_coverage,etf_count
20250321,20250320,9.966810520967147e-05,0.0,0.0,9.966810520967151e-05,1.1628117318007896,0.0,0.6999999999999995,0.0,0.0,1
20250324,20250321,0.00026907706566481327,1.6653345369377348e-16,3.3306690738754697e-19,0.0002690770656648134,1.1631246177695032,0.0,0.6993524193749785,0.0,0.0,1
20250325,20250324,0.00022915213709273627,0.0,0.0,0.0002291521370927363,1.1633911502613703,0.0,0.6965603575499223,0.0,0.0,1
20250326,20250325,-0.00012949109997717476,1.1102230246251565e-16,2.220446049250313e-19,-0.00012949109997717478,1.1632405014616192,-0.0001294910999772858,0.6999999999999995,0.0,0.0,1
20250327,20250326,-0.0001494321578002777,0.0,0.0,-0.00014943215780027774,1.1630666759234451,-0.0002789039076429578,0.6999999999999995,0.0,0.0,1
20250328,20250327,2.9890898221252002e-05,0.0,0.0,2.9890898221252016e-05,1.1631014410310796,-0.00024902134611015647,0.6999999999999995,0.0,0.0,1
20250331,20250328,0.0,1.1102230246251565e-16,2.220446049250313e-19,0.0,1.1631014410310796,-0.00024902134611015647,0.6979793795463294,0.0,0.0,1
20250401,20250331,0.00014945002391208992,1.1102230246251565e-16,2.220446049250313e-19,0.00014945002391208995,1.1632752665692538,-9.96085384441514e-05,0.6999999999999995,0.0,0.0,1
20250402,20250401,8.96566151640243e-05,2.220446049250313e-16,4.440892098500626e-19,8.965661516402434e-05,1.1633795618921585,-9.960853844526163e-06,1.0,0.0,0.0,1
20250403,20250402,3.9843812255746514e-05,0.0,0.0,3.9843812255746514e-05,1.1634259153690047,0.0,1.0,0.0,0.0,1
20250407,20250403,-1.9921112394793994e-05,5.551115123125783e-17,1.1102230246251566e-19,-1.9921112394793994e-05,1.1634027386305816,-1.9921112394793994e-05,0.9999999999999999,0.0,0.0,1
20250408,20250407,-9.96075462678103e-06,5.551115123125783e-17,1.1102230246251566e-19,-9.960754626781032e-06,1.16339115026137,-2.988166859219099e-05,1.0,0.0,0.0,1
20250409,20250408,0.00019921707688763668,0.0,0.0,0.00019921707688763668,1.163622917645602,0.0,1.0,0.0,0.0,1
