period,layer,month,gross_ret,net_ret,total_cost
selection,raw_top5_20bp,202409,0.2063660038129138,0.17299630153981438,0.028028978880428167
selection,raw_top5_20bp,202410,0.09894434065237712,0.06938387351685593,0.027245847128449102
selection,raw_top5_20bp,202411,0.07235497902145394,0.04100915176195441,0.029643292578073552
selection,raw_top5_20bp,202412,0.027115385083273713,0.004315948804680003,0.022432539463460122
selection,raw_top5_20bp,202501,0.06462320896146134,0.04180262637701815,0.021653318129599468
selection,raw_top5_20bp,202502,0.11779828724187436,0.0842444290826565,0.030450912759525023
selection,raw_top5_20bp,202503,0.013584275588378825,-0.015229688934352725,0.028818203177407655
selection,raw_top5_20bp,202504,0.10038392081039138,0.06991964566634046,0.028055352557611185
selection,raw_top5_20bp,202505,0.09694459925712473,0.06875271479927036,0.026017237785632794
selection,raw_top5_20bp,202506,0.03229920058123792,0.010577792510306994,0.02125240251715263
selection,raw_top5_20bp,202507,0.04702680351132016,0.024203759311760775,0.022026287606300304
selection,raw_top5_20bp,202508,0.06227116917791253,0.04035417480638648,0.020836938319852928
selection,raw_top5_20bp,202509,-0.031174901312760794,-0.05228818617614617,0.022016566072644975
selection,raw_top5_20bp,202510,0.019195133608247206,0.0017842298457519945,0.017219443730318956
selection,raw_top5_20bp,202511,-0.01189070858751684,-0.02841705912527881,0.01685813354238431
selection,raw_top5_20bp,202512,0.05101451523797862,0.016212751991960817,0.03364716657066637
observation,raw_top5_20bp,202601,0.06620718939120596,0.037948521025956694,0.02684165195149129
observation,raw_top5_20bp,202602,-0.007796142285300123,-0.026300451262821878,0.018811612953224026
observation,raw_top5_20bp,202603,0.01612496078943204,-0.008056723329859294,0.024070713158368246
observation,raw_top5_20bp,202604,0.0675638100742646,0.033441871767411646,0.03245795777947207
observation,raw_top5_20bp,202605,-0.029936942470873973,-0.05374525836153332,0.024829222242098457
observation,raw_top5_20bp,202606,-0.11509539990403783,-0.14099185797326508,0.029678440439272213
observation,raw_top5_20bp,202607,-0.0568415212432507,-0.08700152034108433,0.032474334872795524
observation,raw_top5_20bp,202608,0.027474804087036286,0.020075213527809055,0.007222143508751199
development,smoothed_top5_gross,201801,0.011448812787626439,0.011448812787626439,0.0
development,smoothed_top5_gross,201802,-0.006186018283460659,-0.006186018283460659,0.0
development,smoothed_top5_gross,201803,0.08410659813138,0.08410659813138,0.0
development,smoothed_top5_gross,201804,0.022224769150234636,0.022224769150234636,0.0
development,smoothed_top5_gross,201805,0.019647137043590224,0.019647137043590224,0.0
development,smoothed_top5_gross,201806,-0.11713395836575602,-0.11713395836575602,0.0
development,smoothed_top5_gross,201807,0.06499584923326962,0.06499584923326962,0.0
development,smoothed_top5_gross,201808,-0.10589181501434208,-0.10589181501434208,0.0
development,smoothed_top5_gross,201809,-0.009867073377613833,-0.009867073377613833,0.0
development,smoothed_top5_gross,201810,-0.15439890454653105,-0.15439890454653105,0.0
development,smoothed_top5_gross,201811,-0.02031929671966537,-0.02031929671966537,0.0
development,smoothed_top5_gross,201812,0.014240482024199475,0.014240482024199475,0.0
development,smoothed_top5_gross,201901,0.06762323810685045,0.06762323810685045,0.0
development,smoothed_top5_gross,201902,0.20404148484503382,0.20404148484503382,0.0
development,smoothed_top5_gross,201903,0.09017779703625828,0.09017779703625828,0.0
development,smoothed_top5_gross,201904,0.017871375184454363,0.017871375184454363,0.0
development,smoothed_top5_gross,201905,-0.04206527674591021,-0.04206527674591021,0.0
development,smoothed_top5_gross,201906,-0.0021780164474783925,-0.0021780164474783925,0.0
development,smoothed_top5_gross,201907,-0.012671444797717979,-0.012671444797717979,0.0
development,smoothed_top5_gross,201908,0.011103923224939471,0.011103923224939471,0.0
development,smoothed_top5_gross,201909,-0.00712381483465363,-0.00712381483465363,0.0
development,smoothed_top5_gross,201910,-0.00027996282847175813,-0.00027996282847175813,0.0
development,smoothed_top5_gross,201911,-0.013131518005601084,-0.013131518005601084,0.0
development,smoothed_top5_gross,201912,0.08264555849393429,0.08264555849393429,0.0
development,smoothed_top5_gross,202001,0.06549061317682403,0.06549061317682403,0.0
development,smoothed_top5_gross,202002,0.07534165935496828,0.07534165935496828,0.0
development,smoothed_top5_gross,202003,-0.06162043642377768,-0.06162043642377768,0.0
development,smoothed_top5_gross,202004,0.030871313341132467,0.030871313341132467,0.0
development,smoothed_top5_gross,202005,0.04345958409219586,0.04345958409219586,0.0
development,smoothed_top5_gross,202006,0.06260775943471253,0.06260775943471253,0.0
development,smoothed_top5_gross,202007,0.19965873426043412,0.19965873426043412,0.0
development,smoothed_top5_gross,202008,0.010614364041920288,0.010614364041920288,0.0
development,smoothed_top5_gross,202009,-0.03900446846117778,-0.03900446846117778,0.0
development,smoothed_top5_gross,202010,0.017574904972214034,0.017574904972214034,0.0
development,smoothed_top5_gross,202011,0.07925052128997523,0.07925052128997523,0.0
development,smoothed_top5_gross,202012,-0.043838352665769076,-0.043838352665769076,0.0
development,smoothed_top5_gross,202101,0.03277316295488131,0.03277316295488131,0.0
development,smoothed_top5_gross,202102,0.029072786315643473,0.029072786315643473,0.0
development,smoothed_top5_gross,202103,-0.007464406835921533,-0.007464406835921533,0.0
development,smoothed_top5_gross,202104,0.014212069795707105,0.014212069795707105,0.0
development,smoothed_top5_gross,202105,0.05385520850691061,0.05385520850691061,0.0
development,smoothed_top5_gross,202106,0.02187239660175022,0.02187239660175022,0.0
development,smoothed_top5_gross,202107,0.03211777253853643,0.03211777253853643,0.0
development,smoothed_top5_gross,202108,0.10766197040357173,0.10766197040357173,0.0
development,smoothed_top5_gross,202109,-0.023816926148257145,-0.023816926148257145,0.0
development,smoothed_top5_gross,202110,-0.04498835833896819,-0.04498835833896819,0.0
development,smoothed_top5_gross,202111,0.05410744086032526,0.05410744086032526,0.0
development,smoothed_top5_gross,202112,0.009668772316213214,0.009668772316213214,0.0
development,smoothed_top5_gross,202201,-0.0743737395689198,-0.0743737395689198,0.0
development,smoothed_top5_gross,202202,0.055774482206341736,0.055774482206341736,0.0
development,smoothed_top5_gross,202203,0.013753363601044066,0.013753363601044066,0.0
development,smoothed_top5_gross,202204,-0.18519334048956493,-0.18519334048956493,0.0
development,smoothed_top5_gross,202205,0.17300972591465458,0.17300972591465458,0.0
development,smoothed_top5_gross,202206,0.059020593759462336,0.059020593759462336,0.0
development,smoothed_top5_gross,202207,0.047455716474550824,0.047455716474550824,0.0
development,smoothed_top5_gross,202208,0.044163391874177504,0.044163391874177504,0.0
development,smoothed_top5_gross,202209,-0.11348120099649528,-0.11348120099649528,0.0
development,smoothed_top5_gross,202210,0.03915688059537836,0.03915688059537836,0.0
development,smoothed_top5_gross,202211,0.10709091015600736,0.10709091015600736,0.0
development,smoothed_top5_gross,202212,-0.03198936696300858,-0.03198936696300858,0.0
development,smoothed_top5_gross,202301,0.06881358193719334,0.06881358193719334,0.0
development,smoothed_top5_gross,202302,0.025089090764002453,0.025089090764002453,0.0
development,smoothed_top5_gross,202303,0.011513002590858301,0.011513002590858301,0.0
development,smoothed_top5_gross,202304,0.013299117323415599,0.013299117323415599,0.0
development,smoothed_top5_gross,202305,0.0251983589771152,0.0251983589771152,0.0
development,smoothed_top5_gross,202306,-0.008168088071351609,-0.008168088071351609,0.0
development,smoothed_top5_gross,202307,0.05185516708867466,0.05185516708867466,0.0
development,smoothed_top5_gross,202308,-0.03308664353921609,-0.03308664353921609,0.0
development,smoothed_top5_gross,202309,-0.020434802946394548,-0.020434802946394548,0.0
development,smoothed_top5_gross,202310,-0.05462627395017161,-0.05462627395017161,0.0
development,smoothed_top5_gross,202311,0.013039866119646248,0.013039866119646248,0.0
development,smoothed_top5_gross,202312,-0.02364671168005117,-0.02364671168005117,0.0
selection,smoothed_top5_gross,202401,-0.13186071960225287,-0.13186071960225287,0.0
selection,smoothed_top5_gross,202402,0.0492703262206462,0.0492703262206462,0.0
selection,smoothed_top5_gross,202403,0.12107500990975795,0.12107500990975795,0.0
selection,smoothed_top5_gross,202404,0.07024888096721349,0.07024888096721349,0.0
selection,smoothed_top5_gross,202405,-0.04527871824247198,-0.04527871824247198,0.0
selection,smoothed_top5_gross,202406,-0.04677379939992454,-0.04677379939992454,0.0
selection,smoothed_top5_gross,202407,-0.030637410603582493,-0.030637410603582493,0.0
selection,smoothed_top5_gross,202408,-0.0008770991281153995,-0.0008770991281153995,0.0
selection,smoothed_top5_gross,202409,0.20067678854330162,0.20067678854330162,0.0
selection,smoothed_top5_gross,202410,0.05907430402605329,0.05907430402605329,0.0
selection,smoothed_top5_gross,202411,0.10198821751656317,0.10198821751656317,0.0
selection,smoothed_top5_gross,202412,0.0359432796856165,0.0359432796856165,0.0
selection,smoothed_top5_gross,202501,0.046603982060002824,0.046603982060002824,0.0
selection,smoothed_top5_gross,202502,0.13613558361523692,0.13613558361523692,0.0
selection,smoothed_top5_gross,202503,0.007744888493535607,0.007744888493535607,0.0
selection,smoothed_top5_gross,202504,0.11171988065067562,0.11171988065067562,0.0
selection,smoothed_top5_gross,202505,0.09951445184063057,0.09951445184063057,0.0
