factor,month,mean_rank_ic,valid_days
factor_12,202502,-0.1100462934384448,18
factor_12,202503,-0.07562297328611786,21
factor_12,202504,-0.15167716013215155,21
factor_12,202505,-0.13231026146546246,19
factor_12,202506,-0.1140288962604437,20
factor_12,202507,-0.06957568281164293,23
factor_12,202508,0.01972184239783371,21
factor_12,202509,0.015603492619995813,22
factor_12,202510,-0.19721830797445442,17
factor_12,202511,-0.041729872861444584,20
factor_12,202512,0.025989050475780408,23
factor_13,201501,0.2072623922376861,20
factor_13,201502,-0.003855416534838659,15
factor_13,201503,0.070480402142825,22
factor_13,201504,0.13949456732431087,21
factor_13,201505,0.034388784555635946,20
factor_13,201506,0.21137765732887703,21
factor_13,201507,0.1100432827324558,23
factor_13,201508,0.0872442567303945,21
factor_13,201509,0.22158417112214387,20
factor_13,201510,0.10995427174732057,17
factor_13,201511,0.055921899239597464,21
factor_13,201512,0.07569931402623528,23
factor_13,201601,0.12796637369912187,20
factor_13,201602,-0.030235902814050485,16
factor_13,201603,0.21167306819623968,23
factor_13,201604,0.06810550437113944,20
factor_13,201605,0.08453081661176813,21
factor_13,201606,0.00732414219216807,20
factor_13,201607,0.18456457644017604,21
factor_13,201608,0.031252168741227986,23
factor_13,201609,-0.025460371865630587,20
factor_13,201610,0.043028321827188375,16
factor_13,201611,0.10004093995623521,22
factor_13,201612,-0.01016684278161046,22
factor_13,201701,-0.04565971155168026,18
factor_13,201702,0.01821735494859983,18
factor_13,201703,0.017404913574861198,23
factor_13,201704,-0.011942507182354577,18
factor_13,201705,-0.08721917019556542,20
factor_13,201706,0.10359577054085926,22
factor_13,201707,-0.07576960641184126,21
factor_13,201708,0.13070590734089493,23
factor_13,201709,0.05007610991612722,21
factor_13,201710,-0.03960852040262306,17
factor_13,201711,-0.012129306287519577,22
factor_13,201712,0.036537889670651066,21
factor_13,201801,-0.06484563595189421,22
factor_13,201802,0.24445047043077384,15
factor_13,201803,0.04004244972841522,22
factor_13,201804,0.003635236731605914,18
factor_13,201805,-0.013313448559084217,22
factor_13,201806,0.04394314880583908,20
factor_13,201807,-0.01823875473281388,22
factor_13,201808,-0.030112750144248572,23
factor_13,201809,-0.031082121509699426,19
factor_13,201810,0.06603463254197511,18
factor_13,201811,0.05765850889230895,22
factor_13,201812,0.03772280050847017,20
factor_13,201901,0.033781635046082156,22
factor_13,201902,0.19549980984625848,15
factor_13,201903,0.08063813315241616,21
factor_13,201904,0.14500195833779542,21
factor_13,201905,0.04144301518847611,20
factor_13,201906,0.1291446648328179,19
factor_13,201907,-0.021312015416082658,23
factor_13,201908,0.04280214389237284,22
factor_13,201909,0.07550794940085334,20
factor_13,201910,-0.02769644234003571,18
factor_13,201911,0.01641934605063317,21
factor_13,201912,0.05888682099976954,22
factor_13,202001,-0.13143709348579952,16
factor_13,202002,0.0760784903131722,20
factor_13,202003,0.11155186772904017,22
factor_13,202004,0.04474067401493947,21
factor_13,202005,0.0033262097139997674,18
factor_13,202006,-0.011839248609554535,20
factor_13,202007,0.02258040141278213,23
factor_13,202008,0.09998519889431444,21
factor_13,202009,0.07309779483789368,22
factor_13,202010,-0.08460755095881616,16
factor_13,202011,0.08436340107855071,21
factor_13,202012,-0.113268553906076,23
factor_13,202101,-0.0026699197879292203,20
factor_13,202102,0.08972696936892886,15
factor_13,202103,0.024305676066895092,23
factor_13,202104,0.028365364283973103,21
factor_13,202105,0.04686947937367378,18
factor_13,202106,-0.0061943756121593686,21
factor_13,202107,-0.11371747332401229,22
factor_13,202108,0.016187377711399567,22
factor_13,202109,0.11571746367589826,20
factor_13,202110,0.04651162809851885,16
factor_13,202111,0.1497334188266242,22
factor_13,202112,0.09032040129994214,23
factor_13,202201,0.02551993733419814,19
factor_13,202202,0.04415780917802212,16
factor_13,202203,-0.09590350417891261,23
factor_13,202204,0.06621278536578165,19
factor_13,202205,0.10090828571025585,19
factor_13,202206,0.008346586085432364,21
factor_13,202207,0.02123926503099954,21
factor_13,202208,0.13434173197715749,23
factor_13,202209,0.006425041378373411,21
factor_13,202210,0.17451700705618728,16
factor_13,202211,0.108452724973285,22
factor_13,202212,0.07581988787984889,22
factor_13,202301,0.18096359558384348,16
factor_13,202302,0.08148155967257063,20
factor_13,202303,-0.059359885182202435,23
factor_13,202304,-0.009180512952378136,19
factor_13,202305,0.1374648804857373,20
factor_13,202306,0.06718137999095417,20
factor_13,202307,0.14411156950387652,21
factor_13,202308,0.05025531632618927,23
factor_13,202309,-0.007950798346813424,20
factor_13,202310,-0.030419591609490117,17
