strategy_id,universe,score_name,top_k,rebalance_days,hold_days,val_days,val_total_ret,val_ann_ret,val_ann_vol,val_sharpe,val_max_drawdown,val_win_rate,val_bench_ann_ret,val_excess_ann_ret,val_excess_sharpe,val_avg_turnover,val_rebalance_count,observation_days,observation_total_ret,observation_ann_ret,observation_ann_vol,observation_sharpe,observation_max_drawdown,observation_win_rate,observation_bench_ann_ret,observation_excess_ann_ret,observation_excess_sharpe,observation_avg_turnover,observation_rebalance_count
industry_concept__score_low_vol_mom__top3__rb1,industry_concept,score_low_vol_mom,3,1,1,483,0.08361945230784706,0.04278935083241864,0.3111905052100542,0.2890677002131265,-0.25596124971184575,0.484472049689441,0.18784006684587706,-0.15404606097227413,-0.4820232823937985,0.45066748675661084,483,93,-0.07025279282502839,-0.17912120632099648,0.28703047992533975,-0.5432033079690606,-0.2127327920516935,0.4838709677419355,0.05468683869726565,-0.22463766878886782,-1.0324368940959476,0.46336681408189645,93
industry_concept__score_low_vol_mom__top20__rb5,industry_concept,score_low_vol_mom,20,5,5,483,0.08361137203772628,0.04278529388051866,0.27495857273410107,0.2879881901282472,-0.27963917437341934,0.4989648033126294,0.18784006684587706,-0.14557163265312,-0.7958875105512895,0.712168841531404,97,93,0.04638793261161567,0.13073523527139064,0.27289286461379164,0.5874644962398556,-0.16367755853123045,0.5376344086021505,0.05468683869726565,0.07080430432343054,0.453575212430429,0.7505832730606201,19
tradable_theme__score_breakout__top20__rb10,tradable_theme,score_breakout,20,10,10,483,0.08460252072060559,0.04328282311292564,0.30036757169745837,0.28761758073518384,-0.31984299848244646,0.4968944099378882,0.19005875999688016,-0.1387025490875331,-0.8263308372688529,0.8878153990658859,49,93,0.2524569435359272,0.8403722010868138,0.2931241765546229,2.2297767903014516,-0.12230659820242462,0.5268817204301075,0.06018190415199798,0.7271827536000639,2.4380363038622113,0.8060182451825261,10
tradable_theme__score_pullback_trend__top5__rb5,tradable_theme,score_pullback_trend,5,5,5,483,0.0795688203810252,0.040753786944480286,0.35111741847451156,0.2866409259858487,-0.3822278668797756,0.5093167701863354,0.19005875999688016,-0.13199047518797347,-0.605876249159908,0.9711687823645431,97,93,0.3070258127392136,1.065820463677802,0.37018193217638584,2.147956524138549,-0.14947833494020757,0.5591397849462365,0.06018190415199798,0.9623445708081715,2.490415022548115,1.0,19
industry__score_low_vol_mom__top20__rb1,industry,score_low_vol_mom,20,1,1,483,0.08303392167289325,0.042495329422934436,0.29833719215704874,0.28663174827283583,-0.21087304987761957,0.4968944099378882,0.17183939229863743,-0.12421607189330963,-0.6599646965689575,0.3239609579490182,483,93,0.06943966897368403,0.19951073533220343,0.24647797339605304,0.8620726628220285,-0.0958120666629163,0.5806451612903226,0.022428170864180474,0.16828861174123744,0.9261759282412166,0.34749384836745373,93
industry_concept__score_risk_adj__top3__rb5,industry_concept,score_risk_adj,3,5,5,483,0.0817354410838027,0.041843032246672296,0.2716431986585291,0.2851292340718218,-0.22206796952684404,0.5175983436853002,0.18784006684587706,-0.15927933824140506,-0.5821922376766112,0.8936444508039427,97,93,0.10608545424136095,0.314174997596012,0.2916824988991887,1.0832636275694416,-0.14358601501116475,0.5268817204301075,0.05468683869726565,0.23893351204603452,1.0244001604370783,0.9131219924564555,19
industry__score_risk_adj__top20__rb10,industry,score_risk_adj,20,10,10,483,0.0822630074093662,0.042108102546503545,0.2864461486209971,0.28375693356814313,-0.2652546357263087,0.515527950310559,0.17183939229863743,-0.1240508010883733,-0.8060261509049951,0.8990105796826692,49,93,0.1829093964103412,0.5764310577164908,0.2704781760134679,1.8198534360249996,-0.10504597608817201,0.5591397849462365,0.022428170864180474,0.548661423165204,2.6121502853730716,0.885,10
tradable_theme__score_volume_confirm__top3__rb1,tradable_theme,score_volume_confirm,3,1,1,483,0.07179920676180229,0.03683907383287477,0.3576053749866975,0.2771801520570016,-0.29343078010477686,0.5093167701863354,0.19005875999688016,-0.14547915410611556,-0.47049806833145164,0.686859855276534,483,93,0.16748177530953234,0.5213393692346373,0.33514910724638747,1.4180507636865103,-0.10707683445388916,0.5806451612903226,0.06018190415199798,0.42514045157372804,1.3614284956884175,0.7107072784537432,93
tradable_theme__score_pullback_trend__top10__rb1,tradable_theme,score_pullback_trend,10,1,1,483,0.07014818143775448,0.036005459566207376,0.36069163428319784,0.276417438181434,-0.3563358159974366,0.5093167701863354,0.19005875999688016,-0.13059545632694902,-0.6548839489585445,0.6481217259074119,483,93,-0.09971591624318266,-0.2477133462695028,0.36301107957251366,-0.5982652539385412,-0.24646274503548438,0.5053763440860215,0.06018190415199798,-0.2890860142372996,-1.002564891700537,0.6590849504353096,93
industry__score_breakout__top20__rb5,industry,score_breakout,20,5,5,483,0.07177016748591991,0.036824417006922516,0.29094794194150414,0.268065520355606,-0.2619326857078238,0.5072463768115942,0.17183939229863743,-0.13002685147182635,-0.7219722436533816,0.6834768628003414,97,93,0.1443178959199043,0.4409292043146593,0.3814422318063529,1.150633053859138,-0.19239902979467494,0.5483870967741935,0.022428170864180474,0.4088203805112507,1.1953723965625573,0.6810955229167228,19
