expression_text,fitness,direction,peak_month,nodes,depth,category,duplicate_corr,manual_duplicate_corr,manual_duplicate_factor,selected,reject_reason,factor_name
"add(volatility_10d_rank, risk_adj_10_20_rank)",0.028917441268160197,1,201707,3,1,volatility,0.5862509100531583,0.7290945898171187,risk_adj_10_20_rank,True,,sector_factor_17
abs(volatility_20d_rank),0.028902483960152298,1,202001,2,1,volatility,0.576666229655996,0.1197762595731509,ma_gap_10_60_rank,False,peak_month_limit,
"mul(sub(sub(volume_z_20d_rank, risk_adj_5_20_rank), add(ma_gap_10_60_rank, risk_adj_20_60_rank)), ret_5d_rank)",0.028860330117848016,-1,201702,9,3,trend,0.12109366824620776,0.08825165199041056,ret_5d_rank,True,,sector_factor_18
volatility_10d_rank,0.02880019923657679,1,202001,1,0,volatility,0.7286091179593062,0.9999999999999998,volatility_10d_rank,False,manual_factor_duplicate,
ma_gap_10_60_rank,0.028681961895067203,-1,201506,1,0,breakout,0.5630819137201344,0.9999911404205258,ma_gap_10_60_rank,False,manual_factor_duplicate,
std_20(risk_adj_10_20_rank),0.02868002304658245,1,201703,2,1,trend,0.2117117073701059,0.1703106472383353,volatility_20d_rank,True,,sector_factor_19
signed_log(std_20(ret_60d_rank)),0.02867429204711302,-1,202012,3,2,trend,0.1707784421973767,0.10689828533203638,volatility_20d_rank,True,,sector_factor_20
"add(max(abs(drawdown_60d_rank), volatility_10d_rank), signed_sqrt(zscore_20(close_pos_20d_rank)))",0.028630082028870334,1,201505,8,3,breakout,0.6682469009863113,0.675537071990453,close_pos_20d_rank,False,peak_month_limit,
"max(ret_3d_rank, ret_60d_rank)",0.02862965822750639,1,201505,3,1,trend,0.49410800334747007,0.7016259623699591,ret_60d_rank,False,peak_month_limit,
zscore_20(risk_adj_10_20_rank),0.02859550585680836,1,201505,2,1,trend,0.9697319336452999,0.719596104387961,risk_adj_10_20_rank,False,peak_month_limit,
"add(abs(volatility_10d_rank), ts_rank_20(risk_adj_20_60_rank))",0.028568162553953915,1,201505,5,2,volatility,0.7679211615697343,0.47475397367365285,risk_adj_10_20_rank,False,peak_month_limit,
"sub(ret_3d_rank, mul(risk_adj_5_20_rank, range_1d_rank))",0.02856767463134315,1,201505,5,2,trend,0.4784404332836599,0.8608729260424123,ret_3d_rank,False,manual_factor_duplicate,
"min(ret_20d_rank, delta_5(close_pos_20d_rank))",0.028557306572836887,1,202108,4,2,breakout,0.5918771675029633,0.7507487143131656,close_pos_20d_rank,True,,sector_factor_21
"min(abs(close_pos_20d_rank), sub(signed_sqrt(ma_gap_10_60_rank), ret_3d_rank))",0.028506316011218943,-1,201506,7,3,breakout,0.6586536076542433,0.7310752589646481,ma_gap_10_60_rank,True,,sector_factor_22
"div(ret_60d_rank, std_20(risk_adj_5_20_rank))",0.02849330019129878,1,201505,4,2,trend,0.5094383489751022,0.973581607733073,ret_60d_rank,False,manual_factor_duplicate,
ts_rank_20(risk_adj_5_20_rank),0.028467974774358553,1,201505,2,1,trend,0.7141844036590286,0.8120915096586495,risk_adj_5_20_rank,False,manual_factor_duplicate,
"add(volatility_20d_rank, signed_log(risk_adj_10_20_rank))",0.028440128411092613,1,201505,4,2,volatility,0.8850806537016171,0.8131161382081168,volatility_20d_rank,False,manual_factor_duplicate,
"signed_log(signed_sqrt(add(range_1d_rank, risk_adj_5_20_rank)))",0.02840154596937747,1,201702,5,3,breakout,0.6224722463288508,0.7442959733501877,range_1d_rank,True,,sector_factor_23
signed_sqrt(signed_sqrt(std_20(ret_20d_rank))),0.02840004060067327,-1,201505,4,3,trend,0.45313926525659215,0.21796697654096595,volatility_20d_rank,False,peak_month_limit,
ts_rank_20(ret_20d_rank),0.02839419583487535,1,201505,2,1,trend,0.915319825548018,0.5635754889077745,ret_10d_rank,False,peak_month_limit,
"add(slope_5(drawdown_60d_rank), risk_adj_10_20_rank)",0.028386820101834832,1,201505,4,2,breakout,0.7164589993963412,0.9920413912610337,risk_adj_10_20_rank,False,manual_factor_duplicate,
"mul(abs(volatility_20d_rank), volatility_10d_rank)",0.028380857292375314,1,202001,4,2,volatility,0.7406664794511825,0.9718241040507973,volatility_10d_rank,False,manual_factor_duplicate,
"sub(sub(ts_rank_20(risk_adj_20_60_rank), ret_5d_rank), max(ma_gap_5_20_rank, close_pos_20d_rank))",0.028367783104253277,-1,201505,8,3,breakout,0.6543999754335682,0.8548597124595207,ret_5d_rank,False,manual_factor_duplicate,
"max(signed_log(mul(range_1d_rank, ret_5d_rank)), risk_adj_5_20_rank)",0.02836030362077319,1,201505,6,3,trend,0.4912281942114546,0.7670973632541876,risk_adj_5_20_rank,False,peak_month_limit,
signed_log(signed_log(ret_3d_rank)),0.02835812940867571,1,201505,3,2,trend,0.5442513766059427,1.0,ret_3d_rank,False,manual_factor_duplicate,
