name,expression,expression_text,direction,category,fitness,raw_alpha,top3_month_alpha,best_contiguous_2m_alpha,daily_alpha_std,peak_month,nodes,depth
sector_factor_11,"['delta_5', 'ret_3d']",delta_5(ret_3d),1,raw_state,0.0313023659541363,0.03564587232511752,0.0439063069787017,0.040976286030398226,0.03343506370981214,202012,2,1
sector_factor_12,"['mul', ['std_20', 'volatility_10d_rank'], ['neg', 'ma_gap_10_60_rank']]","mul(std_20(volatility_10d_rank), neg(ma_gap_10_60_rank))",1,breakout,0.03128788442546975,0.03609754740890743,0.047039727203292914,0.030757302458790742,0.023096629834376742,201506,5,2
sector_factor_13,"['zscore_20', 'ma_gap_5_20_rank']",zscore_20(ma_gap_5_20_rank),1,breakout,0.03113550607442491,0.0341334972988761,0.03426506578303921,0.03787938552087457,0.019979912244511896,201506,2,1
sector_factor_14,volatility_60d,volatility_60d,1,raw_state,0.030994151793034608,0.03532594589368585,0.07458020549347488,0.06156139271498469,0.03831794100651246,202001,1,0
sector_factor_15,"['std_20', 'range_1d_rank']",std_20(range_1d_rank),-1,breakout,0.030824711936572685,0.03847809089861465,0.1446129644799126,0.16551468977591552,0.06653378962041961,201509,2,1
sector_factor_16,"['mul', ['slope_5', 'risk_adj_20_60_rank'], 'ret_20d']","mul(slope_5(risk_adj_20_60_rank), ret_20d)",-1,raw_state,0.03078037296400076,0.03532182834018724,0.036124693560929726,0.03338650261317823,0.02541455376186473,202107,4,2
sector_factor_17,"['delta_5', 'ret_5d_rank']",delta_5(ret_5d_rank),1,trend,0.030758881429410072,0.03472068456343711,0.033296196486919526,0.028521609524158296,0.029618031340270398,202012,2,1
sector_factor_18,"['add', ['signed_sqrt', ['sub', 'volatility_60d', 'ma_gap_10_60_rank']], 'ret_5d_rank']","add(signed_sqrt(sub(volatility_60d, ma_gap_10_60_rank)), ret_5d_rank)",1,raw_state,0.030548590897156728,0.03585206000001559,0.03829426419204875,0.03344359750577171,0.02303469102858863,201506,6,3
sector_factor_19,"['std_20', 'risk_adj_10_20_rank']",std_20(risk_adj_10_20_rank),1,trend,0.03043140447440429,0.034227523818515966,0.0553478205916112,0.03872451868927214,0.027961193441116788,202109,2,1
sector_factor_20,"['zscore_20', 'ret_3d']",zscore_20(ret_3d),1,raw_state,0.030091565216434947,0.034274224592068414,0.05081968863371463,0.04623120026491004,0.03182659375633466,201701,2,1
sector_factor_21,"['slope_5', 'range_1d']",slope_5(range_1d),1,raw_state,0.029897943631597788,0.03399175849873789,0.03029250284056802,0.029725175704778277,0.030938148671400996,201703,2,1
sector_factor_22,"['sub', 'drawdown_60d_rank', ['mean_5', 'volatility_10d_rank']]","sub(drawdown_60d_rank, mean_5(volatility_10d_rank))",-1,breakout,0.02987922578350302,0.034744631516643934,0.04667260107510942,0.03203452081533699,0.02865405733140913,202004,4,2
sector_factor_23,"['mul', 'volatility_60d', ['zscore_20', 'volatility_20d']]","mul(volatility_60d, zscore_20(volatility_20d))",1,raw_state,0.029855413922389426,0.03497597087112622,0.05381956085499398,0.03515714213739349,0.031205569487367964,201707,4,2
sector_factor_24,"['ts_rank_20', 'ret_60d']",ts_rank_20(ret_60d),1,raw_state,0.02976730000675621,0.033376599244308386,0.03836384802581178,0.03904747460691067,0.026092992375521762,201701,2,1
sector_factor_25,"['mul', ['neg', ['zscore_20', 'risk_adj_5_20_rank']], ['mul', ['mul', 'close_pos_20d_rank', 'volume_z_20d'], 'ret_3d']]","mul(neg(zscore_20(risk_adj_5_20_rank)), mul(mul(close_pos_20d_rank, volume_z_20d), ret_3d))",1,raw_state,0.029632950415443473,0.036309861352053906,0.028542221744861956,0.02516136856687829,0.021769109366104353,201704,9,3
sector_factor_26,"['min', 'drawdown_60d_rank', ['div', ['div', 'volatility_60d', 'risk_adj_10_20_rank'], 'ret_10d_rank']]","min(drawdown_60d_rank, div(div(volatility_60d, risk_adj_10_20_rank), ret_10d_rank))",-1,trend,0.02950380995270192,0.03516747545556219,0.03320635537682424,0.03480787270898167,0.021636655028602667,201704,7,3
sector_factor_27,"['slope_5', 'close_pos_20d_rank']",slope_5(close_pos_20d_rank),1,breakout,0.029365502407811276,0.032703268088749626,0.024146345557982632,0.025735765631551416,0.023377656809383505,201703,2,1
sector_factor_28,"['std_20', 'close_pos_20d_rank']",std_20(close_pos_20d_rank),1,breakout,0.029340128490076136,0.032577110354798,0.042042181876582325,0.03863498035759746,0.02236981864721865,202305,2,1
sector_factor_29,"['std_20', 'ret_60d_rank']",std_20(ret_60d_rank),-1,trend,0.029244493622805977,0.03312685926573654,0.051593983646819774,0.03822538058386104,0.02882365642930559,202012,2,1
sector_factor_30,"['mul', ['mul', 'close_pos_20d_rank', 'volume_z_20d'], ['sub', 'ma_gap_10_60_rank', ['std_20', 'range_1d_rank']]]","mul(mul(close_pos_20d_rank, volume_z_20d), sub(ma_gap_10_60_rank, std_20(range_1d_rank)))",-1,breakout,0.02923149726473401,0.035569076324626546,0.03930268370811824,0.0322991877613849,0.023375790598925313,202107,8,3
