asof_date,effective_from,sector_code,sector_name,etf_code,etf_name,index_code,index_name,listing_sessions,recent_completeness,median_amount20,n_obs,score_before_tracking_penalty,eligible_before_index_gap,reject_reason,corr120,corr60,beta,r2,tracking_error,tracking_error_rank,mapping_score,selected,runner_up_index_gap,effective_to
20180131,20180201,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,349,1.0,5748.9,120,0.35835338107781006,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.4411437486349992,0.4343613428653979,0.35482759921726736,0.19460780695973967,0.12022566811190855,1.0,0.25835338107781003,False,,20180301
20180228,20180301,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,246,1.0,6744.642,120,0.04775906150106106,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,-0.05234857379973277,0.2940891696963901,-0.04570972650108282,0.0027403731788661068,0.10746764894045405,1.0,-0.052240938498938946,False,,20180402
20180228,20180301,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,364,1.0,2087.094,120,0.38603641979079467,False,insufficient_liquidity|corr120_below_threshold|beta_outside_range,0.4521887837756644,0.5170832939083411,0.45439517693158593,0.20447469617251457,0.13195718974814635,1.0,0.28603641979079464,False,,20180402
20180330,20180402,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,268,1.0,3281.6275,120,0.11578445516517144,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.004426334992147353,0.45427339521151344,0.0036681736822119547,1.959244146276795e-05,0.104990096385931,1.0,0.015784455165171435,False,,20180502
20180330,20180402,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,386,1.0,2788.8315000000002,120,0.3906516677279914,False,insufficient_liquidity|corr120_below_threshold|beta_outside_range,0.4578455645575622,0.5211420052058214,0.4762245353012579,0.20962256098503296,0.13511124550154932,1.0,0.29065166772799145,False,,20180502
20180427,20180502,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,286,1.0,2968.11,120,0.10768941811135703,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,-0.007105844152276608,0.4449390649373114,-0.006341341813885543,5.049302111659326e-05,0.0893291060131141,1.0,0.007689418111357024,False,,20180601
20180427,20180502,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,404,1.0,2657.2754999999997,120,0.4034722225166837,False,insufficient_liquidity|corr120_below_threshold,0.47842369408747965,0.5197079632531894,0.653315041480318,0.22888923106431014,0.11953073385086725,1.0,0.3034722225166837,False,,20180601
20180531,20180601,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,308,1.0,10685.866999999998,120,0.2710769776952231,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.3341469684221608,0.3490214560331385,0.29243057014134677,0.11165419650572062,0.0638205470426766,1.0,0.1710769776952231,False,,20180702
20180531,20180601,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,426,1.0,1030.682,120,0.3712067974474857,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold,0.479557688616224,0.38772646653093384,0.6733243155238153,0.22997557671093505,0.10971145069021467,1.0,0.27120679744748566,False,,20180702
20180629,20180702,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,328,1.0,19889.8245,120,0.2742847348575612,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.3565916029448175,0.30766119076615694,0.2966151255382577,0.12715757129075456,0.06608810183989537,1.0,0.1742847348575612,False,,20180801
20180629,20180702,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,446,1.0,477.22249999999997,120,0.29437954362667096,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold,0.42527017923154337,0.21846498083741958,0.5719748104561438,0.180854725343629,0.11598001767080383,1.0,0.19437954362667095,False,,20180801
20180731,20180801,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,350,1.0,20591.2025,120,0.35308286298472286,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.43254985508477367,0.43497211548902903,0.3231387415153024,0.1870993771338585,0.0689837767329981,1.0,0.2530828629847228,False,,20180903
20180731,20180801,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,468,1.0,493.7425,120,0.2719701136907782,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold,0.38467955191032244,0.2297343363477121,0.5497276477799343,0.14797835765792655,0.12167794205195913,1.0,0.17197011369077822,False,,20180903
20180831,20180903,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,373,1.0,6037.711499999999,120,0.33967909831642545,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.39323675624595156,0.47946179289609586,0.26961341182604187,0.15463514646283805,0.0723956259281023,1.0,0.23967909831642545,False,,20181008
20180831,20180903,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,491,1.0,374.834,120,0.20362941317268932,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.2771641490926545,0.214097375180095,0.30733388388552213,0.07681996554225534,0.12417390758878621,1.0,0.10362941317268931,False,,20181008
20180928,20181008,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,392,1.0,4286.731,120,0.36312003901857415,False,insufficient_liquidity|corr120_below_threshold|beta_outside_range,0.4196528123732733,0.5075094415680713,0.2903911908474336,0.1761084829327979,0.07050506342310466,1.0,0.26312003901857417,False,,20181101
20180928,20181008,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,510,1.0,382.75649999999996,120,0.15889415350808425,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.2158795261452761,0.17585517985655943,0.2645947786546161,0.046603969808708956,0.13056418670150435,1.0,0.058894153508084246,False,,20181101
20181031,20181101,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,410,1.0,7962.8150000000005,120,0.27759351357854695,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.3624175526952068,0.30673105942282436,0.2485296948842791,0.13134648250158298,0.07800566648009359,1.0,0.17759351357854694,False,,20181203
20181031,20181101,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,528,1.0,429.921,120,0.08765950455124287,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.1280736669232121,0.08464896586305248,0.15469359602653707,0.016402864159158037,0.14986634512241773,1.0,-0.012340495448757136,False,,20181203
20181130,20181203,885410.TI,固废处理,512580.SH,广发中证环保产业ETF,000827.SH,中证环保,432,1.0,6645.7615000000005,120,0.27173280150573953,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.3625789217953568,0.2828952777140746,0.24608349712491917,0.1314634745302835,0.08115345112987336,1.0,0.17173280150573952,False,,20190102
20181130,20181203,885472.TI,上海自贸区,510810.SH,汇添富中证上海国企ETF,950096.CSI,中证上海国企,550,1.0,961.3625,120,0.17759834282356377,False,insufficient_liquidity|corr120_below_threshold|corr60_below_threshold|beta_outside_range,0.21995661629958024,0.24145159086271817,0.24000863413462978,0.04838091305396064,0.1605332544353175,1.0,0.07759834282356376,False,,20190102
