power,dead_zone,half_life,top_k,signal_mode,mean_rank_ic,rank_ic_ir,mean_long_short_5d,long_short_win_rate,early_2026_ic,late_2026_ic
1.5,0.0,5.0,10,binary,0.029481081304137874,0.25116924098738813,-0.0009605593364276682,0.4111111111111111,0.04883521001241415,-0.0023963071565524527
1.5,0.01,5.0,10,binary,0.029481081304137874,0.25116924098738813,-0.0009605593364276682,0.4111111111111111,0.04883521001241415,-0.0023963071565524527
1.0,0.03,5.0,10,binary,0.029399674713164885,0.24592058785424345,-0.0007439370861271334,0.3888888888888889,0.053272845266159045,-0.00992084149176668
1.0,0.0,5.0,10,tanh,0.02778378652745341,0.22624155346991318,-0.0016446527871291645,0.4111111111111111,0.047742057702143216,-0.005088660113212151
1.0,0.01,5.0,10,tanh,0.02778378652745341,0.22624155346991318,-0.0016446527871291645,0.4111111111111111,0.047742057702143216,-0.005088660113212151
1.0,0.0,5.0,10,linear,0.02731408250089954,0.21947641883658867,-0.002332005253765804,0.43333333333333335,0.046946664480596874,-0.005021934877425471
1.0,0.01,5.0,10,linear,0.02731408250089954,0.21947641883658867,-0.002332005253765804,0.43333333333333335,0.046946664480596874,-0.005021934877425471
1.0,0.03,3.0,20,tanh,0.026964640602360267,0.19657930528559303,0.0030249790214193395,0.4444444444444444,0.017589863111490977,0.04240545058732145
1.0,0.03,3.0,20,linear,0.026566171794218663,0.1909244597495828,0.00280493091049951,0.43333333333333335,0.016959715616278955,0.04238857020494288
1.0,0.03,3.0,10,tanh,0.02640780195330209,0.19778871957009475,0.0023642350890601387,0.4111111111111111,0.020038775668409507,0.03689796289312517
1.5,0.03,3.0,20,tanh,0.026346842828534358,0.19282911004297676,0.002433654611088263,0.4444444444444444,0.017504349858756315,0.04091094889640405
1.0,0.0,5.0,10,binary,0.026095596521575972,0.22366001789400633,-0.0013674551794410998,0.4222222222222222,0.044547761946337236,-0.004296205354501409
1.0,0.01,5.0,10,binary,0.026095596521575972,0.22366001789400633,-0.0013674551794410998,0.4222222222222222,0.044547761946337236,-0.004296205354501409
1.0,0.03,3.0,10,linear,0.025972845846928758,0.19171726169570233,0.002124005267734877,0.43333333333333335,0.01932696778119431,0.036918997955197264
1.5,0.03,3.0,20,linear,0.025969479906180003,0.18729717607256177,0.0022187353490572778,0.43333333333333335,0.016828809920510356,0.04102470105904765
1.0,0.03,3.0,20,binary,0.02582206440911903,0.20062850121025302,0.0012567400466095876,0.4444444444444444,0.017318105011765138,0.03982858576946663
1.5,0.03,3.0,10,tanh,0.025479877362928897,0.19003635168485353,0.0021488728625430934,0.4111111111111111,0.01896665206230414,0.03620754256395792
1.5,0.03,3.0,20,binary,0.025321210333552634,0.19716463257294267,0.0005348665646586492,0.4222222222222222,0.016987195886684896,0.039047822363687715
1.0,0.03,3.0,10,binary,0.025004793221067804,0.19937295694453874,-0.0006356152376828894,0.37777777777777777,0.019463259985108183,0.03413202443323658
1.5,0.03,3.0,10,linear,0.0249571891485312,0.18354541991052936,0.0016308273330178048,0.4111111111111111,0.018140056713828918,0.03618540727627614
